id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;chleb pełnoziarnisty,0.160,banany;mleko,0.165,0.026,0.162,0.985
1395,chleb pełnoziarnisty;ogórki,0.163,ziemniaki;ser żółty,0.159,0.025,0.153,0.965
1396,ziemniaki;ser żółty;chleb pełnoziarnisty,0.059,ogórki,0.396,0.025,0.424,1.070
1397,ziemniaki;ser żółty;ogórki,0.067,chleb pełnoziarnisty,0.414,0.025,0.373,0.901
1398,ziemniaki;chleb pełnoziarnisty;ogórki,0.060,ser żółty,0.418,0.025,0.417,0.997
1399,ser żółty;chleb pełnoziarnisty;ogórki,0.069,ziemniaki,0.401,0.025,0.362,0.904
1400,ser żółty;jajka,0.176,ryż brązowy;jogurt naturalny,0.172,0.030,0.170,0.991
1401,ser żółty;ryż brązowy,0.171,jajka;jogurt naturalny,0.180,0.030,0.175,0.975
1402,ser żółty;jogurt naturalny,0.175,jajka;ryż brązowy,0.171,0.030,0.171,1.003
1403,jajka;ryż brązowy,0.171,ser żółty;jogurt naturalny,0.175,0.030,0.175,1.003
1404,jajka;jogurt naturalny,0.180,ser żółty;ryż brązowy,0.171,0.030,0.167,0.975
1405,ryż brązowy;jogurt naturalny,0.172,ser żółty;jajka,0.176,0.030,0.174,0.991
1406,ser żółty;jajka;ryż brązowy,0.076,jogurt naturalny,0.434,0.030,0.395,0.910
1407,ser żółty;jajka;jogurt naturalny,0.077,ryż brązowy,0.412,0.030,0.390,0.946
1408,ser żółty;ryż brązowy;jogurt naturalny,0.069,jajka,0.432,0.030,0.435,1.006
1409,jajka;ryż brązowy;jogurt naturalny,0.067,ser żółty,0.418,0.030,0.448,1.071
1410,ziemniaki;ser żółty,0.159,jabłka;ogórki,0.150,0.031,0.195,1.300
1411,ziemniaki;jabłka,0.160,ser żółty;ogórki,0.172,0.031,0.194,1.126
1412,ziemniaki;ogórki,0.153,jabłka;ser żółty,0.163,0.031,0.203,1.243
1413,jabłka;ser żółty,0.163,ziemniaki;ogórki,0.153,0.031,0.190,1.243
1414,ser żółty;ogórki,0.172,ziemniaki;jabłka,0.160,0.031,0.180,1.126
1415,jabłka;ogórki,0.150,ziemniaki;ser żółty,0.159,0.031,0.207,1.300
1416,ziemniaki;jabłka;ser żółty,0.065,ogórki,0.396,0.031,0.477,1.204
1417,ziemniaki;ser żółty;ogórki,0.067,jabłka,0.407,0.031,0.463,1.137
1418,ziemniaki;jabłka;ogórki,0.061,ser żółty,0.418,0.031,0.508,1.216
1419,jabłka;ser żółty;ogórki,0.067,ziemniaki,0.401,0.031,0.463,1.154
1420,ziemniaki;jajka,0.177,chleb pełnoziarnisty;mleko,0.177,0.036,0.203,1.149
1421,ziemniaki;chleb pełnoziarnisty,0.164,jajka;mleko,0.171,0.036,0.220,1.284
1422,ziemniaki;mleko,0.178,jajka;chleb pełnoziarnisty,0.180,0.036,0.202,1.124
1423,jajka;chleb pełnoziarnisty,0.180,ziemniaki;mleko,0.178,0.036,0.200,1.124
1424,jajka;mleko,0.171,ziemniaki;chleb pełnoziarnisty,0.164,0.036,0.211,1.284
1425,chleb pełnoziarnisty;mleko,0.177,ziemniaki;jajka,0.177,0.036,0.203,1.149
1426,ziemniaki;jajka;chleb pełnoziarnisty,0.074,mleko,0.434,0.036,0.486,1.121
1427,ziemniaki;jajka;mleko,0.084,chleb pełnoziarnisty,0.414,0.036,0.429,1.035
1428,ziemniaki;chleb pełnoziarnisty;mleko,0.073,jajka,0.432,0.036,0.493,1.142
1429,jajka;chleb pełnoziarnisty;mleko,0.071,ziemniaki,0.401,0.036,0.507,1.264
1430,ziemniaki;chleb pełnoziarnisty,0.164,banany;mleko,0.165,0.025,0.152,0.924
1431,ziemniaki;mleko,0.178,chleb pełnoziarnisty;banany,0.158,0.025,0.140,0.889
1432,ziemniaki;banany,0.146,chleb pełnoziarnisty;mleko,0.177,0.025,0.171,0.967
1433,chleb pełnoziarnisty;mleko,0.177,ziemniaki;banany,0.146,0.025,0.141,0.967
1434,chleb pełnoziarnisty;banany,0.158,ziemniaki;mleko,0.178,0.025,0.158,0.889
1435,banany;mleko,0.165,ziemniaki;chleb pełnoziarnisty,0.164,0.025,0.152,0.924
1436,ziemniaki;chleb pełnoziarnisty;mleko,0.073,banany,0.389,0.025,0.342,0.880
1437,ziemniaki;chleb pełnoziarnisty;banany,0.059,mleko,0.434,0.025,0.424,0.976
1438,ziemniaki;mleko;banany,0.061,chleb pełnoziarnisty,0.414,0.025,0.410,0.990
1439,chleb pełnoziarnisty;mleko;banany,0.070,ziemniaki,0.401,0.025,0.357,0.891
1440,jabłka;ser żółty,0.163,chleb pełnoziarnisty;jogurt naturalny,0.169,0.026,0.160,0.944
1441,ser żółty;chleb pełnoziarnisty,0.160,jabłka;jogurt naturalny,0.177,0.026,0.162,0.918
1442,ser żółty;jogurt naturalny,0.175,jabłka;chleb pełnoziarnisty,0.162,0.026,0.149,0.917
1443,jabłka;chleb pełnoziarnisty,0.162,ser żółty;jogurt naturalny,0.175,0.026,0.160,0.917
1444,jabłka;jogurt naturalny,0.177,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.147,0.918
1445,chleb pełnoziarnisty;jogurt naturalny,0.169,jabłka;ser żółty,0.163,0.026,0.154,0.944
1446,jabłka;ser żółty;chleb pełnoziarnisty,0.059,jogurt naturalny,0.434,0.026,0.441,1.015
1447,jabłka;ser żółty;jogurt naturalny,0.070,chleb pełnoziarnisty,0.414,0.026,0.371,0.897
1448,ser żółty;chleb pełnoziarnisty;jogurt naturalny,0.061,jabłka,0.407,0.026,0.426,1.047
1449,jabłka;chleb pełnoziarnisty;jogurt naturalny,0.074,ser żółty,0.418,0.026,0.351,0.841
1450,jabłka;ryż brązowy,0.175,chleb pełnoziarnisty;jogurt naturalny,0.169,0.032,0.183,1.082
1451,jabłka;chleb pełnoziarnisty,0.162,ryż brązowy;jogurt naturalny,0.172,0.032,0.198,1.148
1452,jabłka;jogurt naturalny,0.177,ryż brązowy;chleb pełnoziarnisty,0.176,0.032,0.181,1.027
1453,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka;jogurt naturalny,0.177,0.032,0.182,1.027
1454,ryż brązowy;jogurt naturalny,0.172,jabłka;chleb pełnoziarnisty,0.162,0.032,0.186,1.148
1455,chleb pełnoziarnisty;jogurt naturalny,0.169,jabłka;ryż brązowy,0.175,0.032,0.189,1.082
1456,jabłka;ryż brązowy;chleb pełnoziarnisty,0.079,jogurt naturalny,0.434,0.032,0.405,0.933
1457,jabłka;ryż brązowy;jogurt naturalny,0.069,chleb pełnoziarnisty,0.414,0.032,0.464,1.120
1458,jabłka;chleb pełnoziarnisty;jogurt naturalny,0.074,ryż brązowy,0.412,0.032,0.432,1.050
1459,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny,0.071,jabłka,0.407,0.032,0.451,1.107
1460,jabłka;ser żółty,0.163,ryż brązowy;jogurt naturalny,0.172,0.029,0.178,1.034
1461,ser żółty;ryż brązowy,0.171,jabłka;jogurt naturalny,0.177,0.029,0.170,0.958
1462,ser żółty;jogurt naturalny,0.175,jabłka;ryż brązowy,0.175,0.029,0.166,0.947
1463,jabłka;ryż brązowy,0.175,ser żółty;jogurt naturalny,0.175,0.029,0.166,0.947
1464,jabłka;jogurt naturalny,0.177,ser żółty;ryż brązowy,0.171,0.029,0.164,0.958
1465,ryż brązowy;jogurt naturalny,0.172,jabłka;ser żółty,0.163,0.029,0.169,1.034
1466,jabłka;ser żółty;ryż brązowy,0.068,jogurt naturalny,0.434,0.029,0.426,0.983
1467,jabłka;ser żółty;jogurt naturalny,0.070,ryż brązowy,0.412,0.029,0.414,1.006
1468,ser żółty;ryż brązowy;jogurt naturalny,0.069,jabłka,0.407,0.029,0.420,1.033
1469,jabłka;ryż brązowy;jogurt naturalny,0.069,ser żółty,0.418,0.029,0.420,1.005
1470,ser żółty;ryż brązowy,0.171,chleb pełnoziarnisty;mleko,0.177,0.030,0.175,0.991
1471,ser żółty;chleb pełnoziarnisty,0.160,ryż brązowy;mleko,0.181,0.030,0.188,1.036
1472,ser żółty;mleko,0.194,ryż brązowy;chleb pełnoziarnisty,0.176,0.030,0.155,0.879
1473,ryż brązowy;chleb pełnoziarnisty,0.176,ser żółty;mleko,0.194,0.030,0.170,0.879
1474,ryż brązowy;mleko,0.181,ser żółty;chleb pełnoziarnisty,0.160,0.030,0.166,1.036
1475,chleb pełnoziarnisty;mleko,0.177,ser żółty;ryż brązowy,0.171,0.030,0.169,0.991
1476,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,mleko,0.434,0.030,0.423,0.974
1477,ser żółty;ryż brązowy;mleko,0.076,chleb pełnoziarnisty,0.414,0.030,0.395,0.953
1478,ser żółty;chleb pełnoziarnisty;mleko,0.073,ryż brązowy,0.412,0.030,0.411,0.997
1479,ryż brązowy;chleb pełnoziarnisty;mleko,0.078,ser żółty,0.418,0.030,0.385,0.920
1480,ser żółty;jajka,0.176,chleb pełnoziarnisty;ogórki,0.163,0.026,0.148,0.906
1481,ser żółty;chleb pełnoziarnisty,0.160,jajka;ogórki,0.155,0.026,0.162,1.048
1482,ser żółty;ogórki,0.172,jajka;chleb pełnoziarnisty,0.180,0.026,0.151,0.840
1483,jajka;chleb pełnoziarnisty,0.180,ser żółty;ogórki,0.172,0.026,0.144,0.840
1484,jajka;ogórki,0.155,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.168,1.048
1485,chleb pełnoziarnisty;ogórki,0.163,ser żółty;jajka,0.176,0.026,0.160,0.906
1486,ser żółty;jajka;chleb pełnoziarnisty,0.072,ogórki,0.396,0.026,0.361,0.912
1487,ser żółty;jajka;ogórki,0.064,chleb pełnoziarnisty,0.414,0.026,0.406,0.981
1488,ser żółty;chleb pełnoziarnisty;ogórki,0.069,jajka,0.432,0.026,0.377,0.872
1489,jajka;chleb pełnoziarnisty;ogórki,0.066,ser żółty,0.418,0.026,0.394,0.942
1490,ziemniaki;jabłka,0.160,ogórki;mleko,0.162,0.026,0.162,1.003
1491,ziemniaki;ogórki,0.153,jabłka;mleko,0.170,0.026,0.170,1.000
1492,ziemniaki;mleko,0.178,jabłka;ogórki,0.150,0.026,0.146,0.974
1493,jabłka;ogórki,0.150,ziemniaki;mleko,0.178,0.026,0.173,0.974
1494,jabłka;mleko,0.170,ziemniaki;ogórki,0.153,0.026,0.153,1.000
1495,ogórki;mleko,0.162,ziemniaki;jabłka,0.160,0.026,0.160,1.003
1496,ziemniaki;jabłka;ogórki,0.061,mleko,0.434,0.026,0.426,0.982
1497,ziemniaki;jabłka;mleko,0.077,ogórki,0.396,0.026,0.338,0.853
1498,ziemniaki;ogórki;mleko,0.060,jabłka,0.407,0.026,0.433,1.065
1499,jabłka;ogórki;mleko,0.057,ziemniaki,0.401,0.026,0.456,1.138
1500,ziemniaki;ryż brązowy,0.156,chleb pełnoziarnisty;ogórki,0.163,0.035,0.224,1.376
1501,ziemniaki;chleb pełnoziarnisty,0.164,ryż brązowy;ogórki,0.169,0.035,0.213,1.263
1502,ziemniaki;ogórki,0.153,ryż brązowy;chleb pełnoziarnisty,0.176,0.035,0.229,1.300
1503,ryż brązowy;chleb pełnoziarnisty,0.176,ziemniaki;ogórki,0.153,0.035,0.199,1.300
1504,ryż brązowy;ogórki,0.169,ziemniaki;chleb pełnoziarnisty,0.164,0.035,0.207,1.263
1505,chleb pełnoziarnisty;ogórki,0.163,ziemniaki;ryż brązowy,0.156,0.035,0.215,1.376
1506,ziemniaki;ryż brązowy;chleb pełnoziarnisty,0.068,ogórki,0.396,0.035,0.515,1.300
1507,ziemniaki;ryż brązowy;ogórki,0.074,chleb pełnoziarnisty,0.414,0.035,0.473,1.142
1508,ziemniaki;chleb pełnoziarnisty;ogórki,0.060,ryż brązowy,0.412,0.035,0.583,1.416
1509,ryż brązowy;chleb pełnoziarnisty;ogórki,0.073,ziemniaki,0.401,0.035,0.479,1.196
1510,jabłka;chleb pełnoziarnisty,0.162,jogurt naturalny;ogórki,0.162,0.023,0.142,0.876
1511,jabłka;ogórki,0.150,chleb pełnoziarnisty;jogurt naturalny,0.169,0.023,0.153,0.907
1512,jabłka;jogurt naturalny,0.177,chleb pełnoziarnisty;ogórki,0.163,0.023,0.130,0.797
1513,chleb pełnoziarnisty;ogórki,0.163,jabłka;jogurt naturalny,0.177,0.023,0.141,0.797
1514,chleb pełnoziarnisty;jogurt naturalny,0.169,jabłka;ogórki,0.150,0.023,0.136,0.907
1515,jogurt naturalny;ogórki,0.162,jabłka;chleb pełnoziarnisty,0.162,0.023,0.142,0.876
1516,jabłka;chleb pełnoziarnisty;ogórki,0.053,jogurt naturalny,0.434,0.023,0.434,1.000
1517,jabłka;chleb pełnoziarnisty;jogurt naturalny,0.074,ogórki,0.396,0.023,0.311,0.785
1518,jabłka;jogurt naturalny;ogórki,0.059,chleb pełnoziarnisty,0.414,0.023,0.390,0.942
1519,chleb pełnoziarnisty;jogurt naturalny;ogórki,0.065,jabłka,0.407,0.023,0.354,0.869
1520,ryż brązowy;chleb pełnoziarnisty,0.176,banany;mleko,0.165,0.023,0.131,0.792
1521,ryż brązowy;mleko,0.181,chleb pełnoziarnisty;banany,0.158,0.023,0.127,0.804
1522,ryż brązowy;banany,0.149,chleb pełnoziarnisty;mleko,0.177,0.023,0.154,0.872
1523,chleb pełnoziarnisty;mleko,0.177,ryż brązowy;banany,0.149,0.023,0.130,0.872
1524,chleb pełnoziarnisty;banany,0.158,ryż brązowy;mleko,0.181,0.023,0.146,0.804
1525,banany;mleko,0.165,ryż brązowy;chleb pełnoziarnisty,0.176,0.023,0.139,0.792
1526,ryż brązowy;chleb pełnoziarnisty;mleko,0.078,banany,0.389,0.023,0.295,0.758
1527,ryż brązowy;chleb pełnoziarnisty;banany,0.061,mleko,0.434,0.023,0.377,0.869
1528,ryż brązowy;mleko;banany,0.063,chleb pełnoziarnisty,0.414,0.023,0.365,0.882
1529,chleb pełnoziarnisty;mleko;banany,0.070,ryż brązowy,0.412,0.023,0.329,0.798
1530,jabłka;ryż brązowy,0.175,chleb pełnoziarnisty;banany,0.158,0.027,0.154,0.976
1531,jabłka;chleb pełnoziarnisty,0.162,ryż brązowy;banany,0.149,0.027,0.167,1.119
1532,jabłka;banany,0.160,ryż brązowy;chleb pełnoziarnisty,0.176,0.027,0.169,0.959
1533,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka;banany,0.160,0.027,0.153,0.959
1534,ryż brązowy;banany,0.149,jabłka;chleb pełnoziarnisty,0.162,0.027,0.181,1.119
1535,chleb pełnoziarnisty;banany,0.158,jabłka;ryż brązowy,0.175,0.027,0.171,0.976
1536,jabłka;ryż brązowy;chleb pełnoziarnisty,0.079,banany,0.389,0.027,0.342,0.879
1537,jabłka;ryż brązowy;banany,0.062,chleb pełnoziarnisty,0.414,0.027,0.435,1.052
1538,jabłka;chleb pełnoziarnisty;banany,0.063,ryż brązowy,0.412,0.027,0.429,1.040
1539,ryż brązowy;chleb pełnoziarnisty;banany,0.061,jabłka,0.407,0.027,0.443,1.088
1540,jabłka;ryż brązowy,0.175,ogórki;banany,0.156,0.027,0.154,0.989
1541,jabłka;ogórki,0.150,ryż brązowy;banany,0.149,0.027,0.180,1.208
1542,jabłka;banany,0.160,ryż brązowy;ogórki,0.169,0.027,0.169,0.999
1543,ryż brązowy;ogórki,0.169,jabłka;banany,0.160,0.027,0.160,0.999
1544,ryż brązowy;banany,0.149,jabłka;ogórki,0.150,0.027,0.181,1.208
1545,ogórki;banany,0.156,jabłka;ryż brązowy,0.175,0.027,0.173,0.989
1546,jabłka;ryż brązowy;ogórki,0.060,banany,0.389,0.027,0.450,1.157
1547,jabłka;ryż brązowy;banany,0.062,ogórki,0.396,0.027,0.435,1.100
1548,jabłka;ogórki;banany,0.065,ryż brązowy,0.412,0.027,0.415,1.008
1549,ryż brązowy;ogórki;banany,0.068,jabłka,0.407,0.027,0.397,0.976
1550,jabłka;chleb pełnoziarnisty,0.162,ogórki;banany,0.156,0.022,0.136,0.871
1551,jabłka;ogórki,0.150,chleb pełnoziarnisty;banany,0.158,0.022,0.147,0.928
1552,jabłka;banany,0.160,chleb pełnoziarnisty;ogórki,0.163,0.022,0.137,0.844
1553,chleb pełnoziarnisty;ogórki,0.163,jabłka;banany,0.160,0.022,0.135,0.844
1554,chleb pełnoziarnisty;banany,0.158,jabłka;ogórki,0.150,0.022,0.139,0.928
1555,ogórki;banany,0.156,jabłka;chleb pełnoziarnisty,0.162,0.022,0.141,0.871
1556,jabłka;chleb pełnoziarnisty;ogórki,0.053,banany,0.389,0.022,0.415,1.067
1557,jabłka;chleb pełnoziarnisty;banany,0.063,ogórki,0.396,0.022,0.349,0.882
1558,jabłka;ogórki;banany,0.065,chleb pełnoziarnisty,0.414,0.022,0.338,0.818
1559,chleb pełnoziarnisty;ogórki;banany,0.059,jabłka,0.407,0.022,0.373,0.916
1560,jabłka;ser żółty,0.163,banany;mleko,0.165,0.030,0.184,1.115
1561,ser żółty;mleko,0.194,jabłka;banany,0.160,0.030,0.155,0.966
1562,ser żółty;banany,0.163,jabłka;mleko,0.170,0.030,0.184,1.083
1563,jabłka;mleko,0.170,ser żółty;banany,0.163,0.030,0.176,1.083
1564,jabłka;banany,0.160,ser żółty;mleko,0.194,0.030,0.188,0.966
1565,banany;mleko,0.165,jabłka;ser żółty,0.163,0.030,0.182,1.115
1566,jabłka;ser żółty;mleko,0.078,banany,0.389,0.030,0.385,0.989
1567,jabłka;ser żółty;banany,0.067,mleko,0.434,0.030,0.448,1.032
1568,ser żółty;mleko;banany,0.073,jabłka,0.407,0.030,0.411,1.010
1569,jabłka;mleko;banany,0.065,ser żółty,0.418,0.030,0.462,1.104
1570,ziemniaki;ogórki,0.153,banany;mleko,0.165,0.027,0.176,1.070
1571,ziemniaki;mleko,0.178,ogórki;banany,0.156,0.027,0.152,0.972
1572,ziemniaki;banany,0.146,ogórki;mleko,0.162,0.027,0.185,1.142
1573,ogórki;mleko,0.162,ziemniaki;banany,0.146,0.027,0.167,1.142
1574,ogórki;banany,0.156,ziemniaki;mleko,0.178,0.027,0.173,0.972
1575,banany;mleko,0.165,ziemniaki;ogórki,0.153,0.027,0.164,1.070
1576,ziemniaki;ogórki;mleko,0.060,banany,0.389,0.027,0.450,1.157
1577,ziemniaki;ogórki;banany,0.062,mleko,0.434,0.027,0.435,1.003
1578,ziemniaki;mleko;banany,0.061,ogórki,0.396,0.027,0.443,1.118
1579,ogórki;mleko;banany,0.062,ziemniaki,0.401,0.027,0.435,1.086
1580,ziemniaki;ser żółty,0.159,jajka;mleko,0.171,0.034,0.214,1.251
1581,ziemniaki;jajka,0.177,ser żółty;mleko,0.194,0.034,0.192,0.990
1582,ziemniaki;mleko,0.178,ser żółty;jajka,0.176,0.034,0.191,1.085
1583,ser żółty;jajka,0.176,ziemniaki;mleko,0.178,0.034,0.193,1.085
1584,ser żółty;mleko,0.194,ziemniaki;jajka,0.177,0.034,0.175,0.990
1585,jajka;mleko,0.171,ziemniaki;ser żółty,0.159,0.034,0.199,1.251
1586,ziemniaki;ser żółty;jajka,0.064,mleko,0.434,0.034,0.531,1.224
1587,ziemniaki;ser żółty;mleko,0.081,jajka,0.432,0.034,0.420,0.972
1588,ziemniaki;jajka;mleko,0.084,ser żółty,0.418,0.034,0.405,0.968
1589,ser żółty;jajka;mleko,0.070,ziemniaki,0.401,0.034,0.486,1.211
1590,jabłka;jajka,0.167,ryż brązowy;chleb pełnoziarnisty,0.176,0.024,0.144,0.817
1591,jabłka;ryż brązowy,0.175,jajka;chleb pełnoziarnisty,0.180,0.024,0.137,0.762
1592,jabłka;chleb pełnoziarnisty,0.162,jajka;ryż brązowy,0.171,0.024,0.148,0.866
1593,jajka;ryż brązowy,0.171,jabłka;chleb pełnoziarnisty,0.162,0.024,0.140,0.866
1594,jajka;chleb pełnoziarnisty,0.180,jabłka;ryż brązowy,0.175,0.024,0.133,0.762
1595,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka;jajka,0.167,0.024,0.136,0.817
1596,jabłka;jajka;ryż brązowy,0.068,chleb pełnoziarnisty,0.414,0.024,0.353,0.853
1597,jabłka;jajka;chleb pełnoziarnisty,0.059,ryż brązowy,0.412,0.024,0.407,0.987
1598,jabłka;ryż brązowy;chleb pełnoziarnisty,0.079,jajka,0.432,0.024,0.304,0.703
1599,jajka;ryż brązowy;chleb pełnoziarnisty,0.075,jabłka,0.407,0.024,0.320,0.786
1600,jabłka;ryż brązowy,0.175,banany;mleko,0.165,0.024,0.137,0.831
1601,jabłka;mleko,0.170,ryż brązowy;banany,0.149,0.024,0.141,0.947
1602,jabłka;banany,0.160,ryż brązowy;mleko,0.181,0.024,0.150,0.829
1603,ryż brązowy;mleko,0.181,jabłka;banany,0.160,0.024,0.133,0.829
1604,ryż brązowy;banany,0.149,jabłka;mleko,0.170,0.024,0.161,0.947
1605,banany;mleko,0.165,jabłka;ryż brązowy,0.175,0.024,0.145,0.831
1606,jabłka;ryż brązowy;mleko,0.070,banany,0.389,0.024,0.343,0.881
1607,jabłka;ryż brązowy;banany,0.062,mleko,0.434,0.024,0.387,0.892
1608,jabłka;mleko;banany,0.065,ryż brązowy,0.412,0.024,0.369,0.896
1609,ryż brązowy;mleko;banany,0.063,jabłka,0.407,0.024,0.381,0.936
1610,jabłka;chleb pełnoziarnisty,0.162,jogurt naturalny;mleko,0.184,0.040,0.247,1.342
1611,jabłka;jogurt naturalny,0.177,chleb pełnoziarnisty;mleko,0.177,0.040,0.226,1.277
1612,jabłka;mleko,0.170,chleb pełnoziarnisty;jogurt naturalny,0.169,0.040,0.235,1.392
1613,chleb pełnoziarnisty;jogurt naturalny,0.169,jabłka;mleko,0.170,0.040,0.237,1.392
1614,chleb pełnoziarnisty;mleko,0.177,jabłka;jogurt naturalny,0.177,0.040,0.226,1.277
1615,jogurt naturalny;mleko,0.184,jabłka;chleb pełnoziarnisty,0.162,0.040,0.217,1.342
1616,jabłka;chleb pełnoziarnisty;jogurt naturalny,0.074,mleko,0.434,0.040,0.541,1.245
1617,jabłka;chleb pełnoziarnisty;mleko,0.075,jogurt naturalny,0.434,0.040,0.533,1.229
1618,jabłka;jogurt naturalny;mleko,0.079,chleb pełnoziarnisty,0.414,0.040,0.506,1.223
1619,chleb pełnoziarnisty;jogurt naturalny;mleko,0.074,jabłka,0.407,0.040,0.541,1.328
1620,ser żółty;jajka,0.176,ryż brązowy;banany,0.149,0.030,0.170,1.144
1621,ser żółty;ryż brązowy,0.171,jajka;banany,0.157,0.030,0.175,1.117
1622,ser żółty;banany,0.163,jajka;ryż brązowy,0.171,0.030,0.184,1.076
1623,jajka;ryż brązowy,0.171,ser żółty;banany,0.163,0.030,0.175,1.076
1624,jajka;banany,0.157,ser żółty;ryż brązowy,0.171,0.030,0.191,1.117
1625,ryż brązowy;banany,0.149,ser żółty;jajka,0.176,0.030,0.201,1.144
1626,ser żółty;jajka;ryż brązowy,0.076,banany,0.389,0.030,0.395,1.015
1627,ser żółty;jajka;banany,0.068,ryż brązowy,0.412,0.030,0.441,1.071
1628,ser żółty;ryż brązowy;banany,0.061,jajka,0.432,0.030,0.492,1.138
1629,jajka;ryż brązowy;banany,0.066,ser żółty,0.418,0.030,0.455,1.087
1630,ziemniaki;ser żółty,0.159,chleb pełnoziarnisty;banany,0.158,0.026,0.164,1.035
1631,ziemniaki;chleb pełnoziarnisty,0.164,ser żółty;banany,0.163,0.026,0.159,0.973
1632,ziemniaki;banany,0.146,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.178,1.113
1633,ser żółty;chleb pełnoziarnisty,0.160,ziemniaki;banany,0.146,0.026,0.162,1.113
1634,ser żółty;banany,0.163,ziemniaki;chleb pełnoziarnisty,0.164,0.026,0.160,0.973
1635,chleb pełnoziarnisty;banany,0.158,ziemniaki;ser żółty,0.159,0.026,0.165,1.035
1636,ziemniaki;ser żółty;chleb pełnoziarnisty,0.059,banany,0.389,0.026,0.441,1.133
1637,ziemniaki;ser żółty;banany,0.065,chleb pełnoziarnisty,0.414,0.026,0.400,0.966
1638,ziemniaki;chleb pełnoziarnisty;banany,0.059,ser żółty,0.418,0.026,0.441,1.054
1639,ser żółty;chleb pełnoziarnisty;banany,0.061,ziemniaki,0.401,0.026,0.426,1.063
1640,ser żółty;jajka,0.176,ryż brązowy;ogórki,0.169,0.030,0.170,1.009
1641,ser żółty;ryż brązowy,0.171,jajka;ogórki,0.155,0.030,0.175,1.132
1642,ser żółty;ogórki,0.172,jajka;ryż brązowy,0.171,0.030,0.174,1.020
1643,jajka;ryż brązowy,0.171,ser żółty;ogórki,0.172,0.030,0.175,1.020
1644,jajka;ogórki,0.155,ser żółty;ryż brązowy,0.171,0.030,0.194,1.132
1645,ryż brązowy;ogórki,0.169,ser żółty;jajka,0.176,0.030,0.178,1.009
1646,ser żółty;jajka;ryż brązowy,0.076,ogórki,0.396,0.030,0.395,0.997
1647,ser żółty;jajka;ogórki,0.064,ryż brązowy,0.412,0.030,0.469,1.138
1648,ser żółty;ryż brązowy;ogórki,0.079,jajka,0.432,0.030,0.380,0.879
1649,jajka;ryż brązowy;ogórki,0.065,ser żółty,0.418,0.030,0.462,1.104
1650,jabłka;chleb pełnoziarnisty,0.162,banany;mleko,0.165,0.029,0.179,1.085
1651,jabłka;mleko,0.170,chleb pełnoziarnisty;banany,0.158,0.029,0.171,1.080
1652,jabłka;banany,0.160,chleb pełnoziarnisty;mleko,0.177,0.029,0.181,1.024
1653,chleb pełnoziarnisty;mleko,0.177,jabłka;banany,0.160,0.029,0.164,1.024
1654,chleb pełnoziarnisty;banany,0.158,jabłka;mleko,0.170,0.029,0.184,1.080
1655,banany;mleko,0.165,jabłka;chleb pełnoziarnisty,0.162,0.029,0.176,1.085
1656,jabłka;chleb pełnoziarnisty;mleko,0.075,banany,0.389,0.029,0.387,0.994
1657,jabłka;chleb pełnoziarnisty;banany,0.063,mleko,0.434,0.029,0.460,1.061
1658,jabłka;mleko;banany,0.065,chleb pełnoziarnisty,0.414,0.029,0.446,1.078
1659,chleb pełnoziarnisty;mleko;banany,0.070,jabłka,0.407,0.029,0.414,1.018
1660,chleb pełnoziarnisty;jogurt naturalny,0.169,banany;mleko,0.165,0.026,0.154,0.932
1661,chleb pełnoziarnisty;mleko,0.177,jogurt naturalny;banany,0.156,0.026,0.147,0.942
1662,chleb pełnoziarnisty;banany,0.158,jogurt naturalny;mleko,0.184,0.026,0.165,0.894
1663,jogurt naturalny;mleko,0.184,chleb pełnoziarnisty;banany,0.158,0.026,0.141,0.894
1664,jogurt naturalny;banany,0.156,chleb pełnoziarnisty;mleko,0.177,0.026,0.167,0.942
1665,banany;mleko,0.165,chleb pełnoziarnisty;jogurt naturalny,0.169,0.026,0.158,0.932
1666,chleb pełnoziarnisty;jogurt naturalny;mleko,0.074,banany,0.389,0.026,0.351,0.903
1667,chleb pełnoziarnisty;jogurt naturalny;banany,0.059,mleko,0.434,0.026,0.441,1.015
1668,chleb pełnoziarnisty;mleko;banany,0.070,jogurt naturalny,0.434,0.026,0.371,0.856
1669,jogurt naturalny;mleko;banany,0.063,chleb pełnoziarnisty,0.414,0.026,0.413,0.997
1670,jabłka;ser żółty,0.163,jajka;mleko,0.171,0.024,0.147,0.861
1671,ser żółty;jajka,0.176,jabłka;mleko,0.170,0.024,0.136,0.802
1672,ser żółty;mleko,0.194,jabłka;jajka,0.167,0.024,0.124,0.741
1673,jabłka;jajka,0.167,ser żółty;mleko,0.194,0.024,0.144,0.741
1674,jabłka;mleko,0.170,ser żółty;jajka,0.176,0.024,0.141,0.802
1675,jajka;mleko,0.171,jabłka;ser żółty,0.163,0.024,0.140,0.861
